File Name,Heuristic,Weighted,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.398817799985409
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,7.133558900008211
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.746881900005974
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,13.926436300011119
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.103860600007465
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.794710800022585
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.7940277000016067
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.245051200006856
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.1750621999963187
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.524186399998143
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.780168400000548
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,13.90273969998816
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.1357872000080533
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.675527900020825
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.8749614999978803
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,16.02573660001508
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.0780961999844294
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.598724399984349
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.877327399997739
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.223052699991968
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.1711838000046555
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.626013000000967
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.8272591999848373
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.500625799992122
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.0218625999987125
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.477146399993217
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.835834000026807
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.531223199999658
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.3016009000129998
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.599525300000096
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.885309100005543
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.404421799990814
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.212558400002308
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.585265799978515
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.9195311999937985
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,18.088552100001834
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,3.227377900009742
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,6.726650399999926
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.8048798000090756
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,14.1136977999995
