File Name,Runtime,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
3x3x2.csv,10,92156,64,237,1.1955580871242448,3.0290632999967784
3x3x2.csv,10,54088,34,155,1.3778719233108823,1.9506050999625586
3x3x2.csv,10,37083,46,187,1.2569844012892357,1.3622154999757186
3x3x2.csv,10,9357,348,1497,1.0266237620740648,0.33593739999923855
3x3x2.csv,10,714,714,3109,1.0092453943620072,0.02819960005581379
3x3x2.csv,10,70096,26,81,1.5359349285724528,2.3114648000337183
3x3x2.csv,10,182200,18,73,1.959984727896771,7.012485800019931
3x3x2.csv,10,65705,640,2821,1.0174837865384236,2.4415641999803483
3x3x2.csv,10,127169,42,177,1.322917882486932,4.772879700001795
3x3x2.csv,10,121177,56,287,1.2324671731801669,4.3731620000326075
3x3x2.csv,10,41197,156,679,1.0704896476681371,1.6007472000201233
3x3x2.csv,10,137018,882,3933,1.0135006018129091,5.580129900015891
3x3x2.csv,10,71189,118,591,1.09931497280987,2.908439700026065
3x3x2.csv,10,163255,92,463,1.1393616367089887,6.570401200035121
3x3x2.csv,10,136256,120,543,1.1035354702095777,5.184591099969111
3x3x2.csv,10,54118,64,261,1.1856553482652037,2.1231416999944486
3x3x2.csv,10,77653,576,2561,1.019740946066926,2.825727800023742
